date,butter_price,dairy_price,margarine_price
1996-01-01,,79.9,
1996-02-01,,79.9,
1996-03-01,,80.0,
1996-04-01,,80.1,
1996-05-01,,79.9,
1996-06-01,,79.9,
1996-07-01,,79.9,
1996-08-01,,80.0,
1996-09-01,,80.1,
1996-10-01,,80.2,
1996-11-01,,80.1,
1996-12-01,,80.1,
1997-01-01,,80.3,
1997-02-01,,80.2,
1997-03-01,,80.3,
1997-04-01,,80.0,
1997-05-01,,79.9,
1997-06-01,,79.9,
1997-07-01,,79.8,
1997-08-01,,79.9,
1997-09-01,,79.9,
1997-10-01,,80.0,
1997-11-01,,80.0,
1997-12-01,,80.1,
1998-01-01,,80.3,
1998-02-01,,80.3,
1998-03-01,,80.2,
1998-04-01,,80.3,
1998-05-01,,80.1,
1998-06-01,,80.0,
1998-07-01,,79.9,
1998-08-01,,79.8,
1998-09-01,,79.7,
1998-10-01,,79.7,
1998-11-01,,79.7,
1998-12-01,,79.7,
1999-01-01,,79.7,
1999-02-01,,79.5,
1999-03-01,,79.5,
1999-04-01,,79.3,
1999-05-01,,79.1,
1999-06-01,,79.0,
1999-07-01,,78.8,
1999-08-01,,78.6,
1999-09-01,,78.4,
1999-10-01,,78.3,
1999-11-01,,78.2,
1999-12-01,,78.3,
2000-01-01,,78.1,
2000-02-01,,78.0,
2000-03-01,,77.9,
2000-04-01,,77.9,
2000-05-01,,77.8,
2000-06-01,,77.7,
2000-07-01,,77.5,
2000-08-01,,77.5,
2000-09-01,,77.5,
2000-10-01,,77.8,
2000-11-01,,78.0,
2000-12-01,,78.2,
2001-01-01,,78.5,
2001-02-01,,79.0,
2001-03-01,,79.4,
2001-04-01,,79.9,
2001-05-01,,81.2,
2001-06-01,,82.4,
2001-07-01,,82.9,
2001-08-01,,83.3,
2001-09-01,,83.5,
2001-10-01,,83.8,
2001-11-01,,84.0,
2001-12-01,,84.1,
2002-01-01,,84.3,
2002-02-01,,84.1,
2002-03-01,,84.3,
2002-04-01,,84.2,
2002-05-01,,83.9,
2002-06-01,,83.5,
2002-07-01,,83.2,
2002-08-01,,83.0,
2002-09-01,,83.0,
2002-10-01,,82.7,
2002-11-01,,82.7,
2002-12-01,,82.9,
2003-01-01,,82.6,
2003-02-01,,82.6,
2003-03-01,,82.5,
2003-04-01,,82.7,
2003-05-01,,82.9,
2003-06-01,,82.9,
2003-07-01,,82.8,
2003-08-01,,82.8,
2003-09-01,,82.8,
2003-10-01,,83.3,
2003-11-01,,83.5,
2003-12-01,,83.5,
2004-01-01,,83.5,
2004-02-01,,83.3,
2004-03-01,,83.0,
2004-04-01,,82.8,
2004-05-01,,82.5,
2004-06-01,,82.6,
2004-07-01,,82.5,
2004-08-01,,82.3,
2004-09-01,,82.2,
2004-10-01,,82.1,
2004-11-01,,82.2,
2004-12-01,,82.1,
2005-01-01,,82.0,
2005-02-01,,81.9,
2005-03-01,,81.7,
2005-04-01,,81.5,
2005-05-01,,81.5,
2005-06-01,,81.4,
2005-07-01,,81.2,
2005-08-01,,81.3,
2005-09-01,,81.5,
2005-10-01,,81.5,
2005-11-01,,81.6,
2005-12-01,,81.6,
2006-01-01,,81.4,
2006-02-01,,81.4,
2006-03-01,,81.6,
2006-04-01,,81.6,
2006-05-01,,81.6,
2006-06-01,,81.6,
2006-07-01,,81.4,
2006-08-01,,81.3,
2006-09-01,,81.5,
2006-10-01,,81.3,
2006-11-01,,81.4,
2006-12-01,,81.7,
2007-01-01,,81.4,
2007-02-01,,81.3,
2007-03-01,,81.3,
2007-04-01,,81.5,
2007-05-01,,81.6,
2007-06-01,,82.1,
2007-07-01,,82.6,
2007-08-01,,83.7,
2007-09-01,,87.0,
2007-10-01,,92.3,
2007-11-01,,94.7,
2007-12-01,,95.9,
2008-01-01,,97.5,
2008-02-01,,98.5,
2008-03-01,,98.8,
2008-04-01,,99.1,
2008-05-01,,95.2,
2008-06-01,,95.6,
2008-07-01,,95.9,
2008-08-01,,96.2,
2008-09-01,,96.3,
2008-10-01,,96.1,
2008-11-01,,92.4,
2008-12-01,,91.5,
2009-01-01,,91.2,
2009-02-01,,91.1,
2009-03-01,,90.9,
2009-04-01,,90.8,
2009-05-01,,88.9,
2009-06-01,,88.3,
2009-07-01,,88.0,
2009-08-01,,87.6,
2009-09-01,,87.5,
2009-10-01,,87.1,
2009-11-01,,88.4,
2009-12-01,,88.8,
2010-01-01,,88.7,
2010-02-01,,88.7,
2010-03-01,,88.7,
2010-04-01,,88.6,
2010-05-01,,89.0,
2010-06-01,,89.6,
2010-07-01,,89.6,
2010-08-01,,89.8,
2010-09-01,,89.8,
2010-10-01,,90.0,
2010-11-01,,90.3,
2010-12-01,,90.4,
2011-01-01,,90.5,
2011-02-01,,90.7,
2011-03-01,,91.5,
2011-04-01,,91.3,
2011-05-01,,93.1,
2011-06-01,,93.5,
2011-07-01,,94.3,
2011-08-01,,94.6,
2011-09-01,,94.8,
2011-10-01,,95.0,
2011-11-01,,94.4,
2011-12-01,,94.6,
2012-01-01,,94.3,
2012-02-01,,94.1,
2012-03-01,,94.5,
2012-04-01,,94.3,
2012-05-01,,93.1,
2012-06-01,,92.9,
2012-07-01,,92.7,
