month,butter_cpi,margarine_cpi,price_gap,inflation_period
2020-01-01,144.9,110.9,34.0,False
2020-02-01,143.3,110.8,32.500000000000014,False
2020-03-01,142.7,110.6,32.099999999999994,False
2020-04-01,142.5,111.2,31.299999999999997,False
2020-05-01,142.3,109.6,32.70000000000002,False
2020-06-01,140.3,110.5,29.80000000000001,False
2020-07-01,140.5,109.2,31.299999999999997,False
2020-08-01,141.2,109.0,32.19999999999999,False
2020-09-01,138.2,109.8,28.39999999999999,False
2020-10-01,136.9,108.0,28.900000000000006,False
2020-11-01,139.7,107.5,32.19999999999999,False
2020-12-01,138.6,104.5,34.099999999999994,False
2021-01-01,142.1,110.4,31.69999999999999,True
2021-02-01,139.7,109.7,29.999999999999986,True
2021-03-01,144.1,112.7,31.39999999999999,True
2021-04-01,146.5,113.5,33.0,True
2021-05-01,147.4,114.0,33.400000000000006,True
2021-06-01,149.0,115.5,33.5,True
2021-07-01,148.9,117.0,31.900000000000006,True
2021-08-01,149.7,119.5,30.19999999999999,True
2021-09-01,144.4,118.8,25.60000000000001,True
2021-10-01,144.4,117.2,27.200000000000003,True
2021-11-01,156.9,120.8,36.10000000000001,True
2021-12-01,162.1,120.9,41.19999999999999,True
2022-01-01,168.8,126.9,41.900000000000006,True
2022-02-01,168.2,129.0,39.19999999999999,True
2022-03-01,169.5,129.3,40.19999999999999,True
2022-04-01,192.3,134.9,57.400000000000006,True
2022-05-01,210.8,144.6,66.20000000000002,True
2022-06-01,217.5,150.0,67.5,True
2022-07-01,220.2,152.1,68.1,True
2022-08-01,223.0,154.1,68.9,True
2022-09-01,224.7,159.7,65.0,True
2022-10-01,224.2,163.8,60.39999999999998,True
2022-11-01,223.2,162.6,60.599999999999994,True
2022-12-01,226.3,164.4,61.900000000000006,True
2023-01-01,213.0,179.5,33.5,False
2023-02-01,182.5,184.7,-2.1999999999999886,False
2023-03-01,169.8,184.6,-14.799999999999983,False
2023-04-01,163.7,184.7,-21.0,False
2023-05-01,161.5,184.9,-23.400000000000006,False
2023-06-01,160.0,180.2,-20.19999999999999,False
2023-07-01,161.9,178.1,-16.19999999999999,False
2023-08-01,158.4,176.8,-18.400000000000006,False
2023-09-01,159.6,177.0,-17.400000000000006,False
2023-10-01,162.4,177.0,-14.599999999999994,False
2023-11-01,167.6,173.2,-5.599999999999994,False
2023-12-01,167.0,171.1,-4.099999999999994,False
