
month,butter_cpi,dairy_ppi,dairy_cpi,ppi_change,butter_change,ppi_direction
2020-01-01,144.9,111.4,110.9,,,decrease
2020-02-01,143.3,111.9,110.9,0.5,-1.5999999999999943,increase
2020-03-01,142.7,111.4,111.1,-0.5,-0.6000000000000227,decrease
2020-04-01,142.5,109.6,111.6,-1.8000000000000114,-0.19999999999998863,decrease
2020-05-01,142.3,108.1,113.2,-1.5,-0.19999999999998863,decrease
2020-06-01,140.3,108.5,113.0,0.4000000000000057,-2.0,increase
2020-07-01,140.5,109.5,110.6,1.0,0.19999999999998863,increase
2020-08-01,141.2,110.0,110.9,0.5,0.6999999999999886,increase
2020-09-01,138.2,110.6,110.6,0.5999999999999943,-3.0,increase
2020-10-01,136.9,110.7,110.4,0.10000000000000853,-1.299999999999983,increase
2020-11-01,139.7,110.5,110.5,-0.20000000000000284,2.799999999999983,decrease
2020-12-01,138.6,110.3,110.5,-0.20000000000000284,-1.0999999999999943,decrease
2021-01-01,142.1,109.7,112.9,-0.5999999999999943,3.5,decrease
2021-02-01,139.7,109.9,113.7,0.20000000000000284,-2.4000000000000057,increase
2021-03-01,144.1,111.1,113.7,1.1999999999999886,4.400000000000006,increase
2021-04-01,146.5,111.8,114.2,0.7000000000000028,2.4000000000000057,increase
2021-05-01,147.4,112.4,114.9,0.6000000000000085,0.9000000000000057,increase
2021-06-01,149.0,113.7,115.8,1.2999999999999972,1.5999999999999943,increase
2021-07-01,148.9,115.0,116.2,1.2999999999999972,-0.09999999999999432,increase
2021-08-01,149.7,115.4,116.5,0.4000000000000057,0.799999999999983,increase
2021-09-01,144.4,116.4,116.8,1.0,-5.299999999999983,increase
2021-10-01,144.4,118.5,117.0,2.0999999999999943,0.0,increase
2021-11-01,156.9,122.5,117.6,4.0,12.5,increase
2021-12-01,162.1,124.9,118.0,2.4000000000000057,5.199999999999989,increase
2022-01-01,168.8,129.9,119.5,5.0,6.700000000000017,increase
2022-02-01,168.2,132.5,120.8,2.5999999999999943,-0.6000000000000227,increase
2022-03-01,169.5,135.2,121.8,2.6999999999999886,1.3000000000000114,increase
2022-04-01,192.3,139.6,124.8,4.400000000000006,22.80000000000001,increase
2022-05-01,210.8,143.7,129.8,4.099999999999994,18.5,increase
2022-06-01,217.5,148.8,133.3,5.100000000000023,6.699999999999989,increase
2022-07-01,220.2,154.0,143.9,5.199999999999989,2.6999999999999886,increase
2022-08-01,223.0,156.5,147.4,2.5,2.8000000000000114,increase
2022-09-01,224.7,158.6,150.4,2.0999999999999943,1.6999999999999886,increase
2022-10-01,224.2,159.8,150.5,1.200000000000017,-0.5,increase
2022-11-01,223.2,160.5,157.5,0.6999999999999886,-1.0,increase
2022-12-01,226.3,158.0,159.0,-2.5,3.1000000000000227,decrease
2023-01-01,213.0,154.9,162.5,-3.0999999999999943,-13.300000000000011,decrease
2023-02-01,182.5,148.9,163.6,-6.0,-30.5,decrease
2023-03-01,169.8,146.8,164.2,-2.0999999999999943,-12.699999999999989,decrease
2023-04-01,163.7,145.5,164.4,-1.3000000000000114,-6.100000000000023,decrease
2023-05-01,161.5,144.5,163.0,-1.0,-2.1999999999999886,decrease
2023-06-01,160.0,143.1,160.5,-1.4000000000000057,-1.5,decrease
2023-07-01,161.9,141.4,158.3,-1.6999999999999886,1.9000000000000057,decrease
2023-08-01,158.4,140.3,158.3,-1.0999999999999943,-3.5,decrease
2023-09-01,159.6,139.4,157.8,-0.9000000000000057,1.1999999999999886,decrease
2023-10-01,162.4,139.5,157.6,0.09999999999999432,2.8000000000000114,increase
2023-11-01,167.6,140.9,156.6,1.4000000000000057,5.199999999999989,increase
2023-12-01,167.0,141.4,156.3,0.5,-0.5999999999999943,increase
