datum,butter_cpi,predicted_butter_cpi,residual,residual_zscore,significant_deviation,deviation_direction
2023-01-01,213.0,221.08172324522835,-8.081723245228346,-0.6625581266528886,False,not_significant
2023-02-01,182.5,213.0129245676374,-30.512924567637413,-2.5015192338058756,True,lower_than_expected
2023-03-01,169.8,213.44379934970917,-43.643799349709155,-3.5780183334329,True,lower_than_expected
2023-04-01,163.7,213.3585333018735,-49.65853330187352,-4.071119957769573,True,lower_than_expected
2023-05-01,161.5,211.88770590700344,-50.387705907003436,-4.13089919303932,True,lower_than_expected
2023-06-01,160.0,207.85826288455328,-47.858262884553284,-3.923529677952387,True,lower_than_expected
2023-07-01,161.9,202.46337061159664,-40.56337061159664,-3.3254777511732208,True,lower_than_expected
2023-08-01,158.4,198.66526581966247,-40.26526581966246,-3.30103843959363,True,lower_than_expected
2023-09-01,159.6,194.616525168575,-35.016525168575015,-2.870734695262293,True,lower_than_expected
2023-10-01,162.4,193.0163662524102,-30.616366252410188,-2.509999619337678,True,lower_than_expected
2023-11-01,167.6,194.08798284811803,-26.487982848118037,-2.1715453204890176,True,lower_than_expected
2023-12-01,167.0,194.3250411547479,-27.325041154747908,-2.2401692719299895,True,lower_than_expected
