type,date,sentiment,dairy_cpi,butter_cpi
sentiment,,-0.8316,,
sentiment,,-0.9136,,
sentiment,,-0.8316,,
sentiment,,-0.9195,,
sentiment,,0.0,,
sentiment,,-0.9485,,
sentiment,,-0.9485,,
sentiment,,-0.5994,,
sentiment,,0.0,,
sentiment,,0.0,,
sentiment,,0.0,,
sentiment,,-0.9136,,
sentiment,,0.0,,
sentiment,,-0.8316,,
sentiment,,-0.9485,,
sentiment,,-0.9485,,
sentiment,,-0.9823,,
sentiment,,-0.9136,,
sentiment,,-0.9485,,
sentiment,,-0.9485,,
sentiment,,-0.8807,,
sentiment,,-0.9661,,
sentiment,,-0.8316,,
sentiment,,-0.8316,,
sentiment,,-0.9681,,
sentiment,,-0.9565,,
sentiment,,-0.9136,,
sentiment,,-0.9136,,
sentiment,,-0.9136,,
sentiment,,-0.9485,,
sentiment,,-0.9485,,
sentiment,,-0.5994,,
sentiment,,0.0,,
sentiment,,-0.9661,,
sentiment,,-0.9136,,
sentiment,,-0.9136,,
sentiment,,-0.9136,,
sentiment,,-0.5994,,
sentiment,,-0.9485,,
sentiment,,-0.9136,,
sentiment,,-0.8316,,
sentiment,,-0.8316,,
prices,2023-01-01,,162.5,213.0
prices,2023-02-01,,163.6,182.5
prices,2023-03-01,,164.2,169.8
prices,2023-04-01,,164.4,163.7
prices,2023-05-01,,163.0,161.5
prices,2023-06-01,,160.5,160.0
prices,2023-07-01,,158.3,161.9
prices,2023-08-01,,158.3,158.4
prices,2023-09-01,,157.8,159.6
prices,2023-10-01,,157.6,162.4
prices,2023-11-01,,156.6,167.6
prices,2023-12-01,,156.3,167.0
prices,2024-01-01,,156.4,175.5
prices,2024-02-01,,156.7,176.2
prices,2024-03-01,,156.7,176.4
prices,2024-04-01,,156.8,180.5
prices,2024-05-01,,156.1,182.3
prices,2024-06-01,,156.5,187.1
prices,2024-07-01,,156.9,195.2
prices,2024-08-01,,158.0,198.6
prices,2024-09-01,,157.7,206.3
prices,2024-10-01,,159.3,226.8
prices,2024-11-01,,159.6,232.9
prices,2024-12-01,,159.8,232.9
